"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","01 Jul 2017","1","92.49","0.00","5504.250","0.000"
"USEP","01 Jul 2017","2","89.93","0.00","5405.755","0.000"
"USEP","01 Jul 2017","3","85.87","0.00","5255.522","0.000"
"USEP","01 Jul 2017","4","83.79","0.00","5164.546","0.000"
"USEP","01 Jul 2017","5","85.20","0.00","5092.863","0.000"
"USEP","01 Jul 2017","6","83.17","0.00","5039.182","0.000"
"USEP","01 Jul 2017","7","81.42","0.00","4992.420","0.000"
"USEP","01 Jul 2017","8","81.21","0.00","4975.253","0.000"
"USEP","01 Jul 2017","9","81.19","0.00","4943.793","0.000"
"USEP","01 Jul 2017","10","80.28","0.00","4951.561","0.000"
"USEP","01 Jul 2017","11","81.19","0.00","4977.097","0.000"
"USEP","01 Jul 2017","12","81.19","0.00","5025.232","0.000"
"USEP","01 Jul 2017","13","79.22","0.00","5086.909","0.000"
"USEP","01 Jul 2017","14","70.65","0.00","5135.829","0.000"
"USEP","01 Jul 2017","15","70.66","0.00","5216.532","0.000"
"USEP","01 Jul 2017","16","81.31","0.00","5389.269","0.000"
"USEP","01 Jul 2017","17","88.91","0.00","5618.336","0.000"
"USEP","01 Jul 2017","18","85.19","0.00","5794.692","0.000"
"USEP","01 Jul 2017","19","85.42","0.00","5909.479","0.000"
"USEP","01 Jul 2017","20","89.01","0.00","6001.454","0.000"
"USEP","01 Jul 2017","21","96.03","0.00","6086.520","0.000"
"USEP","01 Jul 2017","22","90.26","0.00","6130.107","0.000"
"USEP","01 Jul 2017","23","89.02","0.00","6124.770","0.000"
"USEP","01 Jul 2017","24","85.32","0.00","6079.185","0.000"
"USEP","01 Jul 2017","25","83.90","0.00","6048.654","0.000"
"USEP","01 Jul 2017","26","84.45","0.00","6008.889","0.000"
"USEP","01 Jul 2017","27","83.88","0.00","6003.646","0.000"
"USEP","01 Jul 2017","28","83.39","0.00","5976.992","0.000"
"USEP","01 Jul 2017","29","83.44","0.00","5954.035","0.000"
"USEP","01 Jul 2017","30","83.27","0.00","5931.044","0.000"
"USEP","01 Jul 2017","31","83.37","0.00","5924.464","0.000"
"USEP","01 Jul 2017","32","81.50","0.00","5884.391","0.000"
"USEP","01 Jul 2017","33","81.33","0.00","5842.807","0.000"
"USEP","01 Jul 2017","34","80.42","0.00","5805.780","0.000"
"USEP","01 Jul 2017","35","84.42","0.00","5761.030","0.000"
"USEP","01 Jul 2017","36","85.30","0.00","5749.803","0.000"
"USEP","01 Jul 2017","37","85.29","0.00","5759.842","0.000"
"USEP","01 Jul 2017","38","86.31","0.00","5828.344","0.000"
"USEP","01 Jul 2017","39","89.01","0.00","5867.040","0.000"
"USEP","01 Jul 2017","40","89.02","0.00","5881.657","0.000"
"USEP","01 Jul 2017","41","89.02","0.00","5875.564","0.000"
"USEP","01 Jul 2017","42","90.22","0.00","5882.010","0.000"
"USEP","01 Jul 2017","43","103.80","0.00","5898.242","0.000"
"USEP","01 Jul 2017","44","89.02","0.00","5845.704","0.000"
"USEP","01 Jul 2017","45","85.91","0.00","5752.233","0.000"
"USEP","01 Jul 2017","46","89.93","0.00","5676.336","0.000"
"USEP","01 Jul 2017","47","88.98","0.00","5602.447","0.000"
"USEP","01 Jul 2017","48","118.54","0.00","5508.251","0.000"
"USEP","02 Jul 2017","1","88.41","0.00","5386.153","0.000"
"USEP","02 Jul 2017","2","85.37","0.00","5292.473","0.000"
"USEP","02 Jul 2017","3","85.26","0.00","5205.866","0.000"
"USEP","02 Jul 2017","4","83.18","0.00","5136.967","0.000"
"USEP","02 Jul 2017","5","83.16","0.00","5064.867","0.000"
"USEP","02 Jul 2017","6","83.10","0.00","5008.796","0.000"
"USEP","02 Jul 2017","7","81.20","0.00","4950.011","0.000"
"USEP","02 Jul 2017","8","80.28","0.00","4928.177","0.000"
"USEP","02 Jul 2017","9","73.55","0.00","4884.675","0.000"
"USEP","02 Jul 2017","10","73.47","0.00","4881.758","0.000"
"USEP","02 Jul 2017","11","76.56","0.00","4906.066","0.000"
"USEP","02 Jul 2017","12","80.86","0.00","4950.383","0.000"
"USEP","02 Jul 2017","13","81.17","0.00","4975.591","0.000"
"USEP","02 Jul 2017","14","76.74","0.00","4982.087","0.000"
"USEP","02 Jul 2017","15","69.02","0.00","4990.024","0.000"
"USEP","02 Jul 2017","16","69.32","0.00","5086.293","0.000"
"USEP","02 Jul 2017","17","79.13","0.00","5228.813","0.000"
"USEP","02 Jul 2017","18","83.22","0.00","5352.491","0.000"
"USEP","02 Jul 2017","19","85.46","0.00","5458.511","0.000"
"USEP","02 Jul 2017","20","88.97","0.00","5565.694","0.000"
"USEP","02 Jul 2017","21","90.92","0.00","5639.971","0.000"
"USEP","02 Jul 2017","22","86.28","0.00","5684.736","0.000"
"USEP","02 Jul 2017","23","85.46","0.00","5677.122","0.000"
"USEP","02 Jul 2017","24","85.39","0.00","5655.944","0.000"
"USEP","02 Jul 2017","25","83.86","0.00","5615.687","0.000"
"USEP","02 Jul 2017","26","85.28","0.00","5625.473","0.000"
"USEP","02 Jul 2017","27","85.39","0.00","5650.065","0.000"
"USEP","02 Jul 2017","28","85.47","0.00","5663.529","0.000"
"USEP","02 Jul 2017","29","85.38","0.00","5657.868","0.000"
"USEP","02 Jul 2017","30","85.24","0.00","5638.634","0.000"
"USEP","02 Jul 2017","31","83.83","0.00","5624.574","0.000"
"USEP","02 Jul 2017","32","83.82","0.00","5615.126","0.000"
"USEP","02 Jul 2017","33","83.81","0.00","5610.424","0.000"
"USEP","02 Jul 2017","34","83.81","0.00","5606.458","0.000"
"USEP","02 Jul 2017","35","83.13","0.00","5615.389","0.000"
"USEP","02 Jul 2017","36","81.30","0.00","5585.033","0.000"
"USEP","02 Jul 2017","37","83.12","0.00","5617.437","0.000"
"USEP","02 Jul 2017","38","86.20","0.00","5731.384","0.000"
"USEP","02 Jul 2017","39","85.34","0.00","5818.990","0.000"
"USEP","02 Jul 2017","40","85.22","0.00","5828.632","0.000"
"USEP","02 Jul 2017","41","88.93","0.00","5883.456","0.000"
"USEP","02 Jul 2017","42","90.15","0.00","5913.808","0.000"
"USEP","02 Jul 2017","43","89.99","0.00","5930.189","0.000"
"USEP","02 Jul 2017","44","86.23","0.00","5875.062","0.000"
"USEP","02 Jul 2017","45","85.23","0.00","5777.859","0.000"
"USEP","02 Jul 2017","46","83.90","0.00","5681.788","0.000"
"USEP","02 Jul 2017","47","99.56","0.00","5582.403","0.000"
"USEP","02 Jul 2017","48","99.53","0.00","5467.681","0.000"
"USEP","03 Jul 2017","1","88.44","0.00","5357.014","0.000"
"USEP","03 Jul 2017","2","85.29","0.00","5250.870","0.000"
"USEP","03 Jul 2017","3","85.17","0.00","5158.477","0.000"
"USEP","03 Jul 2017","4","83.14","0.00","5090.855","0.000"
"USEP","03 Jul 2017","5","83.12","0.00","5014.248","0.000"
"USEP","03 Jul 2017","6","81.42","0.00","4974.324","0.000"
"USEP","03 Jul 2017","7","81.19","0.00","4936.065","0.000"
"USEP","03 Jul 2017","8","80.41","0.00","4922.104","0.000"
"USEP","03 Jul 2017","9","79.12","0.00","4903.149","0.000"
"USEP","03 Jul 2017","10","80.28","0.00","4918.551","0.000"
"USEP","03 Jul 2017","11","81.30","0.00","4988.210","0.000"
"USEP","03 Jul 2017","12","83.27","0.00","5125.313","0.000"
"USEP","03 Jul 2017","13","86.16","0.00","5297.056","0.000"
"USEP","03 Jul 2017","14","83.55","0.00","5437.563","0.000"
"USEP","03 Jul 2017","15","76.16","0.00","5628.093","0.000"
"USEP","03 Jul 2017","16","82.49","0.00","5914.713","0.000"
"USEP","03 Jul 2017","17","92.48","0.00","6229.070","0.000"
"USEP","03 Jul 2017","18","89.98","0.00","6405.480","0.000"
"USEP","03 Jul 2017","19","88.93","0.00","6470.060","0.000"
"USEP","03 Jul 2017","20","100.15","0.00","6526.932","0.000"
"USEP","03 Jul 2017","21","100.17","0.00","6565.668","0.000"
"USEP","03 Jul 2017","22","138.02","0.00","6603.897","0.000"
"USEP","03 Jul 2017","23","187.57","0.00","6600.816","0.000"
"USEP","03 Jul 2017","24","97.73","0.00","6520.367","0.000"
"USEP","03 Jul 2017","25","85.30","0.00","6431.861","0.000"
"USEP","03 Jul 2017","26","85.32","0.00","6436.105","0.000"
"USEP","03 Jul 2017","27","86.33","0.00","6498.931","0.000"
"USEP","03 Jul 2017","28","86.31","0.00","6541.549","0.000"
"USEP","03 Jul 2017","29","89.00","0.00","6558.596","0.000"
"USEP","03 Jul 2017","30","89.97","0.00","6537.404","0.000"
"USEP","03 Jul 2017","31","89.02","0.00","6517.062","0.000"
"USEP","03 Jul 2017","32","86.33","0.00","6519.407","0.000"
"USEP","03 Jul 2017","33","85.49","0.00","6507.320","0.000"
"USEP","03 Jul 2017","34","85.29","0.00","6470.145","0.000"
"USEP","03 Jul 2017","35","83.22","0.00","6403.910","0.000"
"USEP","03 Jul 2017","36","71.67","0.00","6279.863","0.000"
"USEP","03 Jul 2017","37","70.60","0.00","6204.707","0.000"
"USEP","03 Jul 2017","38","72.43","0.00","6215.924","0.000"
"USEP","03 Jul 2017","39","78.80","0.00","6246.371","0.000"
"USEP","03 Jul 2017","40","79.74","0.00","6239.199","0.000"
"USEP","03 Jul 2017","41","80.38","0.00","6220.283","0.000"
"USEP","03 Jul 2017","42","85.51","0.00","6190.011","0.000"
"USEP","03 Jul 2017","43","86.32","0.00","6132.687","0.000"
"USEP","03 Jul 2017","44","92.55","0.00","6019.430","0.000"
"USEP","03 Jul 2017","45","86.24","0.00","5889.877","0.000"
"USEP","03 Jul 2017","46","85.22","0.00","5758.635","0.000"
"USEP","03 Jul 2017","47","83.33","0.00","5623.426","0.000"
"USEP","03 Jul 2017","48","81.20","0.00","5434.591","0.000"
"USEP","04 Jul 2017","1","83.30","0.00","5267.867","0.000"
"USEP","04 Jul 2017","2","81.42","0.00","5152.041","0.000"
"USEP","04 Jul 2017","3","83.13","0.00","5107.788","0.000"
"USEP","04 Jul 2017","4","81.41","0.00","5043.089","0.000"
"USEP","04 Jul 2017","5","81.31","0.00","4984.135","0.000"
"USEP","04 Jul 2017","6","81.21","0.00","4942.725","0.000"
"USEP","04 Jul 2017","7","79.12","0.00","4902.353","0.000"
"USEP","04 Jul 2017","8","73.72","0.00","4889.302","0.000"
"USEP","04 Jul 2017","9","73.66","0.00","4883.438","0.000"
"USEP","04 Jul 2017","10","73.71","0.00","4893.989","0.000"
"USEP","04 Jul 2017","11","81.20","0.00","4967.575","0.000"
"USEP","04 Jul 2017","12","83.21","0.00","5092.620","0.000"
"USEP","04 Jul 2017","13","88.84","0.00","5275.392","0.000"
"USEP","04 Jul 2017","14","90.05","0.00","5414.124","0.000"
"USEP","04 Jul 2017","15","82.47","0.00","5619.967","0.000"
"USEP","04 Jul 2017","16","81.37","0.00","5891.239","0.000"
"USEP","04 Jul 2017","17","80.38","0.00","6175.508","0.000"
"USEP","04 Jul 2017","18","70.66","0.00","6352.316","0.000"
"USEP","04 Jul 2017","19","70.46","0.00","6472.342","0.000"
"USEP","04 Jul 2017","20","75.26","0.00","6542.702","0.000"
"USEP","04 Jul 2017","21","73.58","0.00","6600.901","0.000"
"USEP","04 Jul 2017","22","81.52","0.00","6643.931","0.000"
"USEP","04 Jul 2017","23","81.57","0.00","6660.878","0.000"
"USEP","04 Jul 2017","24","75.35","0.00","6611.362","0.000"
"USEP","04 Jul 2017","25","71.20","0.00","6552.915","0.000"
"USEP","04 Jul 2017","26","72.31","0.00","6567.537","0.000"
"USEP","04 Jul 2017","27","73.56","0.00","6599.255","0.000"
"USEP","04 Jul 2017","28","78.79","0.00","6641.138","0.000"
"USEP","04 Jul 2017","29","80.57","0.00","6659.909","0.000"
"USEP","04 Jul 2017","30","75.81","0.00","6629.428","0.000"
"USEP","04 Jul 2017","31","78.78","0.00","6639.040","0.000"
"USEP","04 Jul 2017","32","78.78","0.00","6640.864","0.000"
"USEP","04 Jul 2017","33","78.78","0.00","6645.780","0.000"
"USEP","04 Jul 2017","34","73.57","0.00","6618.460","0.000"
"USEP","04 Jul 2017","35","70.72","0.00","6535.808","0.000"
"USEP","04 Jul 2017","36","81.49","0.00","6411.578","0.000"
"USEP","04 Jul 2017","37","71.93","0.00","6321.333","0.000"
"USEP","04 Jul 2017","38","78.81","0.00","6336.864","0.000"
"USEP","04 Jul 2017","39","83.92","0.00","6355.626","0.000"
"USEP","04 Jul 2017","40","85.14","0.00","6336.467","0.000"
"USEP","04 Jul 2017","41","80.43","0.00","6302.209","0.000"
"USEP","04 Jul 2017","42","90.28","0.00","6270.028","0.000"
"USEP","04 Jul 2017","43","90.28","0.00","6225.561","0.000"
"USEP","04 Jul 2017","44","86.45","0.00","6115.366","0.000"
"USEP","04 Jul 2017","45","82.47","0.00","5974.700","0.000"
"USEP","04 Jul 2017","46","80.56","0.00","5855.092","0.000"
"USEP","04 Jul 2017","47","78.78","0.00","5720.152","0.000"
"USEP","04 Jul 2017","48","84.35","0.00","5584.774","0.000"
"USEP","05 Jul 2017","1","100.88","0.00","5437.061","0.000"
"USEP","05 Jul 2017","2","90.30","0.00","5325.787","0.000"
"USEP","05 Jul 2017","3","90.29","0.00","5230.965","0.000"
"USEP","05 Jul 2017","4","86.46","0.00","5153.229","0.000"
"USEP","05 Jul 2017","5","86.41","0.00","5100.631","0.000"
"USEP","05 Jul 2017","6","85.23","0.00","5052.219","0.000"
"USEP","05 Jul 2017","7","83.26","0.00","5011.634","0.000"
"USEP","05 Jul 2017","8","83.20","0.00","4996.117","0.000"
"USEP","05 Jul 2017","9","82.18","0.00","4979.304","0.000"
"USEP","05 Jul 2017","10","83.25","0.00","5009.999","0.000"
"USEP","05 Jul 2017","11","84.29","0.00","5071.666","0.000"
"USEP","05 Jul 2017","12","90.92","0.00","5198.839","0.000"
"USEP","05 Jul 2017","13","107.55","0.00","5373.564","0.000"
"USEP","05 Jul 2017","14","112.77","0.00","5509.334","0.000"
"USEP","05 Jul 2017","15","82.24","0.00","5694.919","0.000"
"USEP","05 Jul 2017","16","86.41","0.00","5962.723","0.000"
"USEP","05 Jul 2017","17","92.55","0.00","6266.862","0.000"
"USEP","05 Jul 2017","18","91.44","0.00","6449.639","0.000"
"USEP","05 Jul 2017","19","85.37","0.00","6567.771","0.000"
"USEP","05 Jul 2017","20","90.43","0.00","6646.212","0.000"
"USEP","05 Jul 2017","21","91.58","0.00","6710.728","0.000"
"USEP","05 Jul 2017","22","100.86","0.00","6749.325","0.000"
"USEP","05 Jul 2017","23","95.05","0.00","6734.444","0.000"
"USEP","05 Jul 2017","24","91.56","0.00","6663.204","0.000"
"USEP","05 Jul 2017","25","86.46","0.00","6600.518","0.000"
"USEP","05 Jul 2017","26","86.45","0.00","6631.387","0.000"
"USEP","05 Jul 2017","27","90.47","0.00","6675.008","0.000"
"USEP","05 Jul 2017","28","90.38","0.00","6704.813","0.000"
"USEP","05 Jul 2017","29","84.36","0.00","6659.422","0.000"
"USEP","05 Jul 2017","30","81.44","0.00","6614.255","0.000"
"USEP","05 Jul 2017","31","83.44","0.00","6598.545","0.000"
"USEP","05 Jul 2017","32","82.34","0.00","6559.878","0.000"
"USEP","05 Jul 2017","33","75.55","0.00","6514.447","0.000"
"USEP","05 Jul 2017","34","70.74","0.00","6471.735","0.000"
"USEP","05 Jul 2017","35","73.59","0.00","6390.093","0.000"
"USEP","05 Jul 2017","36","69.12","0.00","6274.600","0.000"
"USEP","05 Jul 2017","37","69.04","0.00","6190.036","0.000"
"USEP","05 Jul 2017","38","70.10","0.00","6213.897","0.000"
"USEP","05 Jul 2017","39","70.12","0.00","6224.751","0.000"
"USEP","05 Jul 2017","40","70.55","0.00","6212.162","0.000"
"USEP","05 Jul 2017","41","70.66","0.00","6177.899","0.000"
"USEP","05 Jul 2017","42","82.35","0.00","6138.263","0.000"
"USEP","05 Jul 2017","43","82.60","0.00","6079.960","0.000"
"USEP","05 Jul 2017","44","83.32","0.00","5962.713","0.000"
"USEP","05 Jul 2017","45","81.36","0.00","5828.160","0.000"
"USEP","05 Jul 2017","46","83.26","0.00","5697.817","0.000"
"USEP","05 Jul 2017","47","74.61","0.00","5544.751","0.000"
"USEP","05 Jul 2017","48","68.22","0.00","5360.190","0.000"
"USEP","06 Jul 2017","1","83.24","0.00","5179.664","0.000"
"USEP","06 Jul 2017","2","75.20","0.00","5074.459","0.000"
"USEP","06 Jul 2017","3","79.09","0.00","5035.833","0.000"
"USEP","06 Jul 2017","4","73.68","0.00","4966.551","0.000"
"USEP","06 Jul 2017","5","73.95","0.00","4911.523","0.000"
"USEP","06 Jul 2017","6","70.50","0.00","4853.399","0.000"
"USEP","06 Jul 2017","7","67.94","0.00","4826.924","0.000"
"USEP","06 Jul 2017","8","67.93","0.00","4815.090","0.000"
"USEP","06 Jul 2017","9","67.93","0.00","4801.959","0.000"
"USEP","06 Jul 2017","10","67.93","0.00","4824.911","0.000"
"USEP","06 Jul 2017","11","73.54","0.00","4897.532","0.000"
"USEP","06 Jul 2017","12","81.29","0.00","5030.117","0.000"
"USEP","06 Jul 2017","13","85.27","0.00","5208.888","0.000"
"USEP","06 Jul 2017","14","84.25","0.00","5352.417","0.000"
"USEP","06 Jul 2017","15","70.61","0.00","5539.597","0.000"
"USEP","06 Jul 2017","16","83.27","0.00","5814.632","0.000"
"USEP","06 Jul 2017","17","86.43","0.00","6119.437","0.000"
"USEP","06 Jul 2017","18","84.29","0.00","6297.139","0.000"
"USEP","06 Jul 2017","19","81.31","0.00","6400.232","0.000"
"USEP","06 Jul 2017","20","80.52","0.00","6470.349","0.000"
"USEP","06 Jul 2017","21","81.44","0.00","6514.592","0.000"
"USEP","06 Jul 2017","22","82.35","0.00","6544.918","0.000"
"USEP","06 Jul 2017","23","81.55","0.00","6541.693","0.000"
"USEP","06 Jul 2017","24","78.82","0.00","6478.952","0.000"
"USEP","06 Jul 2017","25","71.21","0.00","6421.737","0.000"
"USEP","06 Jul 2017","26","81.05","0.00","6445.916","0.000"
"USEP","06 Jul 2017","27","81.54","0.00","6501.481","0.000"
"USEP","06 Jul 2017","28","82.34","0.00","6533.309","0.000"
"USEP","06 Jul 2017","29","82.33","0.00","6534.740","0.000"
"USEP","06 Jul 2017","30","78.80","0.00","6530.764","0.000"
"USEP","06 Jul 2017","31","80.52","0.00","6553.278","0.000"
"USEP","06 Jul 2017","32","81.42","0.00","6558.979","0.000"
"USEP","06 Jul 2017","33","80.52","0.00","6546.449","0.000"
"USEP","06 Jul 2017","34","78.80","0.00","6530.207","0.000"
"USEP","06 Jul 2017","35","81.54","0.00","6460.095","0.000"
"USEP","06 Jul 2017","36","83.94","0.00","6342.605","0.000"
"USEP","06 Jul 2017","37","83.34","0.00","6254.715","0.000"
"USEP","06 Jul 2017","38","83.90","0.00","6263.477","0.000"
"USEP","06 Jul 2017","39","85.29","0.00","6290.961","0.000"
"USEP","06 Jul 2017","40","85.29","0.00","6278.278","0.000"
"USEP","06 Jul 2017","41","86.47","0.00","6242.782","0.000"
"USEP","06 Jul 2017","42","100.61","0.00","6216.054","0.000"
"USEP","06 Jul 2017","43","100.59","0.00","6148.268","0.000"
"USEP","06 Jul 2017","44","91.19","0.00","6040.379","0.000"
"USEP","06 Jul 2017","45","86.51","0.00","5900.995","0.000"
"USEP","06 Jul 2017","46","85.28","0.00","5768.719","0.000"
"USEP","06 Jul 2017","47","82.56","0.00","5635.533","0.000"
"USEP","06 Jul 2017","48","74.65","0.00","5492.774","0.000"
"USEP","07 Jul 2017","1","91.43","0.00","5375.398","0.000"
"USEP","07 Jul 2017","2","85.27","0.00","5243.569","0.000"
"USEP","07 Jul 2017","3","83.27","0.00","5142.514","0.000"
"USEP","07 Jul 2017","4","83.21","0.00","5074.932","0.000"
"USEP","07 Jul 2017","5","82.19","0.00","5015.853","0.000"
"USEP","07 Jul 2017","6","79.12","0.00","4959.533","0.000"
"USEP","07 Jul 2017","7","73.92","0.00","4920.578","0.000"
"USEP","07 Jul 2017","8","73.53","0.00","4902.483","0.000"
"USEP","07 Jul 2017","9","73.66","0.00","4909.893","0.000"
"USEP","07 Jul 2017","10","73.92","0.00","4924.579","0.000"
"USEP","07 Jul 2017","11","75.23","0.00","4978.916","0.000"
"USEP","07 Jul 2017","12","83.29","0.00","5110.552","0.000"
"USEP","07 Jul 2017","13","91.41","0.00","5271.316","0.000"
"USEP","07 Jul 2017","14","98.33","0.00","5414.467","0.000"
"USEP","07 Jul 2017","15","84.28","0.00","5622.909","0.000"
"USEP","07 Jul 2017","16","88.35","0.00","5896.209","0.000"
"USEP","07 Jul 2017","17","85.31","0.00","6177.471","0.000"
"USEP","07 Jul 2017","18","81.30","0.00","6348.762","0.000"
"USEP","07 Jul 2017","19","71.12","0.00","6464.882","0.000"
"USEP","07 Jul 2017","20","74.38","0.00","6523.751","0.000"
"USEP","07 Jul 2017","21","79.37","0.00","6582.248","0.000"
"USEP","07 Jul 2017","22","81.44","0.00","6603.719","0.000"
"USEP","07 Jul 2017","23","81.44","0.00","6595.106","0.000"
"USEP","07 Jul 2017","24","74.45","0.00","6524.800","0.000"
"USEP","07 Jul 2017","25","72.18","0.00","6466.855","0.000"
"USEP","07 Jul 2017","26","73.63","0.00","6485.711","0.000"
"USEP","07 Jul 2017","27","78.81","0.00","6542.165","0.000"
"USEP","07 Jul 2017","28","74.49","0.00","6573.749","0.000"
"USEP","07 Jul 2017","29","81.44","0.00","6613.842","0.000"
"USEP","07 Jul 2017","30","82.34","0.00","6596.447","0.000"
"USEP","07 Jul 2017","31","82.35","0.00","6592.546","0.000"
"USEP","07 Jul 2017","32","85.37","0.00","6600.294","0.000"
"USEP","07 Jul 2017","33","82.33","0.00","6607.103","0.000"
"USEP","07 Jul 2017","34","78.85","0.00","6567.800","0.000"
"USEP","07 Jul 2017","35","81.38","0.00","6469.479","0.000"
"USEP","07 Jul 2017","36","83.34","0.00","6325.309","0.000"
"USEP","07 Jul 2017","37","82.52","0.00","6245.550","0.000"
"USEP","07 Jul 2017","38","83.88","0.00","6241.654","0.000"
"USEP","07 Jul 2017","39","83.91","0.00","6245.088","0.000"
"USEP","07 Jul 2017","40","83.91","0.00","6208.817","0.000"
"USEP","07 Jul 2017","41","83.91","0.00","6152.522","0.000"
"USEP","07 Jul 2017","42","91.41","0.00","6111.057","0.000"
"USEP","07 Jul 2017","43","90.29","0.00","6045.478","0.000"
"USEP","07 Jul 2017","44","91.42","0.00","5941.282","0.000"
"USEP","07 Jul 2017","45","86.45","0.00","5813.508","0.000"
"USEP","07 Jul 2017","46","85.25","0.00","5715.068","0.000"
"USEP","07 Jul 2017","47","83.33","0.00","5608.884","0.000"
"USEP","07 Jul 2017","48","81.24","0.00","5496.457","0.000"
"USEP","08 Jul 2017","1","86.44","0.00","5403.707","0.000"
"USEP","08 Jul 2017","2","85.23","0.00","5301.638","0.000"
"USEP","08 Jul 2017","3","84.22","0.00","5208.157","0.000"
"USEP","08 Jul 2017","4","83.19","0.00","5121.386","0.000"
"USEP","08 Jul 2017","5","83.30","0.00","5072.342","0.000"
"USEP","08 Jul 2017","6","82.16","0.00","5007.046","0.000"
"USEP","08 Jul 2017","7","81.26","0.00","4976.620","0.000"
"USEP","08 Jul 2017","8","75.05","0.00","4948.346","0.000"
"USEP","08 Jul 2017","9","73.54","0.00","4920.896","0.000"
"USEP","08 Jul 2017","10","70.58","0.00","4929.022","0.000"
"USEP","08 Jul 2017","11","73.54","0.00","4946.139","0.000"
"USEP","08 Jul 2017","12","74.21","0.00","4994.348","0.000"
"USEP","08 Jul 2017","13","70.58","0.00","5048.402","0.000"
"USEP","08 Jul 2017","14","70.50","0.00","5100.537","0.000"
"USEP","08 Jul 2017","15","74.38","0.00","5179.659","0.000"
"USEP","08 Jul 2017","16","83.29","0.00","5360.389","0.000"
"USEP","08 Jul 2017","17","86.45","0.00","5613.237","0.000"
"USEP","08 Jul 2017","18","85.24","0.00","5761.299","0.000"
"USEP","08 Jul 2017","19","85.20","0.00","5857.205","0.000"
"USEP","08 Jul 2017","20","89.96","0.00","5952.037","0.000"
"USEP","08 Jul 2017","21","96.03","0.00","6030.861","0.000"
"USEP","08 Jul 2017","22","108.50","0.00","6079.488","0.000"
"USEP","08 Jul 2017","23","110.54","0.00","6084.796","0.000"
"USEP","08 Jul 2017","24","96.04","0.00","6043.759","0.000"
"USEP","08 Jul 2017","25","92.53","0.00","5996.355","0.000"
"USEP","08 Jul 2017","26","90.52","0.00","5961.739","0.000"
"USEP","08 Jul 2017","27","88.32","0.00","5928.072","0.000"
"USEP","08 Jul 2017","28","86.44","0.00","5917.863","0.000"
"USEP","08 Jul 2017","29","90.27","0.00","5910.587","0.000"
"USEP","08 Jul 2017","30","86.45","0.00","5876.374","0.000"
"USEP","08 Jul 2017","31","86.38","0.00","5855.614","0.000"
"USEP","08 Jul 2017","32","85.24","0.00","5824.075","0.000"
"USEP","08 Jul 2017","33","83.88","0.00","5784.941","0.000"
"USEP","08 Jul 2017","34","83.54","0.00","5753.361","0.000"
"USEP","08 Jul 2017","35","83.30","0.00","5710.565","0.000"
"USEP","08 Jul 2017","36","81.52","0.00","5669.597","0.000"
"USEP","08 Jul 2017","37","82.22","0.00","5688.831","0.000"
"USEP","08 Jul 2017","38","83.88","0.00","5742.199","0.000"
"USEP","08 Jul 2017","39","85.24","0.00","5808.166","0.000"
"USEP","08 Jul 2017","40","85.25","0.00","5817.092","0.000"
"USEP","08 Jul 2017","41","85.26","0.00","5814.920","0.000"
"USEP","08 Jul 2017","42","87.18","0.00","5848.343","0.000"
"USEP","08 Jul 2017","43","87.19","0.00","5851.479","0.000"
"USEP","08 Jul 2017","44","86.38","0.00","5804.662","0.000"
"USEP","08 Jul 2017","45","84.33","0.00","5696.112","0.000"
"USEP","08 Jul 2017","46","84.24","0.00","5644.633","0.000"
"USEP","08 Jul 2017","47","83.30","0.00","5559.303","0.000"
"USEP","08 Jul 2017","48","86.38","0.00","5469.614","0.000"
"USEP","09 Jul 2017","1","82.96","0.00","5360.662","0.000"
"USEP","09 Jul 2017","2","80.14","0.00","5262.494","0.000"
"USEP","09 Jul 2017","3","80.14","0.00","5171.166","0.000"
"USEP","09 Jul 2017","4","73.55","0.00","5096.859","0.000"
"USEP","09 Jul 2017","5","73.54","0.00","5034.516","0.000"
"USEP","09 Jul 2017","6","73.95","0.00","4969.264","0.000"
"USEP","09 Jul 2017","7","73.95","0.00","4927.502","0.000"
"USEP","09 Jul 2017","8","70.44","0.00","4891.847","0.000"
"USEP","09 Jul 2017","9","68.92","0.00","4871.097","0.000"
"USEP","09 Jul 2017","10","68.93","0.00","4870.665","0.000"
"USEP","09 Jul 2017","11","68.93","0.00","4900.495","0.000"
"USEP","09 Jul 2017","12","73.63","0.00","4949.906","0.000"
"USEP","09 Jul 2017","13","70.44","0.00","4958.778","0.000"
"USEP","09 Jul 2017","14","68.93","0.00","4978.623","0.000"
"USEP","09 Jul 2017","15","67.85","0.00","4992.300","0.000"
"USEP","09 Jul 2017","16","67.87","0.00","5097.838","0.000"
"USEP","09 Jul 2017","17","69.98","0.00","5216.030","0.000"
"USEP","09 Jul 2017","18","73.81","0.00","5309.148","0.000"
"USEP","09 Jul 2017","19","82.91","0.00","5397.365","0.000"
"USEP","09 Jul 2017","20","83.29","0.00","5470.474","0.000"
"USEP","09 Jul 2017","21","84.32","0.00","5549.641","0.000"
"USEP","09 Jul 2017","22","82.51","0.00","5590.231","0.000"
"USEP","09 Jul 2017","23","82.18","0.00","5591.777","0.000"
"USEP","09 Jul 2017","24","78.78","0.00","5556.838","0.000"
"USEP","09 Jul 2017","25","78.76","0.00","5548.771","0.000"
